description,rating,number_of_lists,number_of_watches,number_of_likes,number_of_fans,name_of_director,film_name
"A LITTLE PIG GOES A LONG WAY.
Babe is a little pig who doesn’t quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hoggett knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.",3.4,44K,451K,54K,1K FANS,Chris Noonan,babe-1995
"DREAMS DO COME TRUE.
Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.",4.0,46K,16K,13K,864 FANS,Michael Radford,il-postino-the-postman-1995
"LOSE YOUR HEART AND COME TO YOUR SENSES.
The Dashwood sisters, sensible Elinor and passionate Marianne, whose chances at marriage seem doomed by their family’s sudden loss of fortune. When Henry Dashwood dies unexpectedly, his estate must pass on by law to his son from his first marriage, John and wife Fanny. But these circumstances leave Mr. Dashwood’s current wife, and daughters Elinor, Marianne and Margaret, without a home and with barely enough money to live on. As Elinor and Marianne …more",3.8,62K,275K,75K,2.8K FANS,Ang Lee,sense-and-sensibility-1995
"IN LOVE, THERE ARE NO BOUNDARIES.
In the 1930s, Count Almásy is a Hungarian map maker employed by the Royal Geographical Society to chart the vast expanses of the Sahara Desert along with several other prominent explorers. As World War II unfolds, Almásy enters into a world of love, betrayal, and politics.",3.6,53K,170K,30K,1.4K FANS,Anthony Minghella,the-english-patient-1996
"A HOMESPUN MURDER STORY.
Jerry, a small-town Minnesota car salesman is bursting at the seams with debt… but he’s got a plan. He’s going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It’s going to be a snap and nobody’s going to get hurt… until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who’ll stop at nothing to get her man. And if you think …more",4.2,276K,1.6M,531K,17K FANS,Joel Coen,fargo-1996
"EVERYBODY LOVED HIM… EVERYBODY DISAPPEARED. THE JOURNEY IS EVERYTHING.
Jerry Maguire used to be a typical sports agent: willing to do just about anything he could to get the biggest possible contracts for his clients, plus a nice commission for himself. Then, one day, he suddenly has second thoughts about what he’s really doing. When he voices these doubts, he ends up losing his job and all of his clients, save Rod Tidwell, an egomaniacal football player.",3.6,72K,434K,92K,2.1K FANS,Cameron Crowe,jerry-maguire-1996
"ROXANNE DRIVES HER MOTHER CRAZY. MAURICE NEVER SPEAKS TO HIS NIECE. CYNTHIA HAS A SHOCK FOR HER FAMILY. MONICA CAN’T TALK TO HER HUSBAND. HORTENSE HAS NEVER MET HER MOTHER.
After her adoptive mother dies, Hortense, a successful black optometrist, seeks out her birth mother. She’s shocked when her research leads her to Cynthia, a working class white woman.",4.3,48K,82K,27K,898 FANS,Mike Leigh,secrets-lies-1996
"A TRUE STORY OF THE MYSTERY OF MUSIC AND THE MIRACLE OF LOVE
Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim.",3.7,17K,39K,6.5K,163 FANS,Scott Hicks,shine-1996
"NOTHING ON EARTH COULD COME BETWEEN THEM.
101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic’s departure through to its death—on its first and last voyage—on April 15, 1912.",3.8,345K,4.4M,1.1M,51K FANS,James Cameron,titanic-1997
"A COMEDY FROM THE HEART THAT GOES FOR THE THROAT. BRACE YOURSELF FOR MELVIN.
Melvin Udall, a cranky, bigoted, obsessive-compulsive writer of romantic fiction, is rude to everyone he meets, including his gay neighbor, Simon. After Simon is brutally attacked and hospitalized, Melvin finds his life turned upside down when he has to look after Simon’s dog. In addition, Carol, the only waitress at the local diner who will tolerate him, leaves work to care for her chronically ill son, making it impossible for Melvin to eat breakfast.",3.6,48K,333K,64K,1.2K FANS,James L. Brooks,as-good-as-it-gets-1997
"THE YEAR’S MOST REVEALING COMEDY.
Sheffield, England. Gaz, a jobless steelworker in need of quick cash persuades his mates to bare it all in a one-night-only strip show.",3.7,25K,137K,28K,645 FANS,Peter Cattaneo,the-full-monty-1997
"SOME PEOPLE CAN NEVER BELIEVE IN THEMSELVES, UNTIL SOMEONE BELIEVES IN THEM.
Headstrong yet aimless, Will Hunting has a genius-level IQ but chooses to work as a janitor at MIT. When he secretly solves highly difficult graduate-level math problems, his talents are discovered by Professor Gerald Lambeau, who decides to help the misguided youth reach his potential. When Will is arrested for attacking a police officer, Professor Lambeau makes a deal to get leniency for him if he gets court-ordered therapy. Eventually, therapist …more",4.4,420K,3.4M,1.3M,154K FANS,Gus Van Sant,good-will-hunting-1997
"EVERYTHING IS SUSPECT… EVERYONE IS FOR SALE… AND NOTHING IS WHAT IT SEEMS.
Three detectives in the corrupt and brutal L.A. police force of the 1950s use differing methods to uncover a conspiracy behind the shotgun slayings of the patrons at an all-night diner.",4.1,104K,526K,138K,3K FANS,Curtis Hanson,la-confidential-1997
"LOVE IS THE ONLY INSPIRATION.
Young Shakespeare is forced to stage his latest comedy, “Romeo and Ethel, the Pirate’s Daughter,” before it’s even written. When a lovely noblewoman auditions for a role, they fall into forbidden love – and his play finds a new life (and title). As their relationship progresses, Shakespeare’s comedy soon transforms into tragedy.",3.3,54K,248K,33K,643 FANS,John Madden,shakespeare-in-love-1998
"DECLARED ILLEGITIMATE AGED 3. TRIED FOR TREASON AGED 21. CROWNED QUEEN AGED 25.
The story of the ascension to the throne and the early reign of Queen Elizabeth the First, the endless attempts by her council to marry her off, the Catholic hatred of her and her romance with Lord Robert Dudley.",3.6,24K,110K,18K,282 FANS,Shekhar Kapur,elizabeth-1998
"BONGIORNO PRINCIPESSA!
A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.",4.4,144K,967K,318K,26K FANS,Roberto Benigni,life-is-beautiful-1998
"THE MISSION IS A MAN.
As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",4.2,261K,2M,549K,16K FANS,Steven Spielberg,saving-private-ryan-1998
"EVERY MAN FIGHTS HIS OWN WAR.
The story of a group of men, an Army Rifle company called C-for-Charlie, who change, suffer, and ultimately make essential discoveries about themselves during the fierce World War II battle of Guadalcanal. It follows their journey, from the surprise of an unopposed landing, through the bloody and exhausting battles that follow, to the ultimate departure of those who survived.",4.1,95K,283K,73K,3.3K FANS,Terrence Malick,the-thin-red-line-1998
"… LOOK CLOSER
Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter’s attractive friend.",4.0,219K,1.7M,459K,19K FANS,Sam Mendes,american-beauty-1999
"A STORY ABOUT HOW FAR WE MUST TRAVEL TO FIND THE PLACE WHERE WE BELONG.
Homer is an orphan who was never adopted, becoming the favorite of orphanage director Dr. Larch. Dr. Larch imparts his full medical knowledge on Homer, who becomes a skilled, albeit unlicensed, physician. But Homer yearns for a self-chosen life outside the orphanage. What will Homer learn about life and love in the cider house? What of the destiny that Dr. Larch has planned for him?",3.4,16K,64K,8.4K,115 FANS,Lasse Hallström,the-cider-house-rules-1999
"PAUL EDGECOMB DIDN’T BELIEVE IN MIRACLES. UNTIL THE DAY HE MET ONE.
A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people’s ailments. When the cell block’s head guard, Paul Edgecomb, recognizes Coffey’s miraculous gift, he tries desperately to help stave off the condemned man’s execution.",4.3,183K,1.6M,481K,22K FANS,Frank Darabont,the-green-mile-1999
"TWO MEN DRIVEN TO TELL THE TRUTH … WHATEVER THE COST.
A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.",4.1,57K,170K,46K,747 FANS,Michael Mann,the-insider-1999
"NOT EVERY GIFT IS A BLESSING.
Following an unexpected tragedy, child psychologist Malcolm Crowe meets a nine year old boy named Cole Sear, who is hiding a dark secret.",4.1,239K,1.8M,497K,12K FANS,M. Night Shyamalan,the-sixth-sense-1999
"WHAT WE DO IN LIFE ECHOES IN ETERNITY.
After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome’s most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.",4.2,294K,2.5M,759K,41K FANS,Ridley Scott,gladiator-2000
"ONE TASTE IS ALL IT TAKES.
A mother and daughter move to a small French town where they open a chocolate shop. The town, religious and morally strict, is against them, as they represent free-thinking and indulgence. When a group of gypsies arrive by riverboat, the Mayor’s prejudices lead to a crisis.",3.4,28K,204K,33K,904 FANS,Lasse Hallström,chocolat-2000
"A TIMELESS STORY OF STRENGTH, SECRETS AND TWO WARRIORS WHO WOULD NEVER SURRENDER.
Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically-skilled, teenage nobleman’s daughter, who is at a crossroads in her life.",4.1,104K,412K,108K,2.8K FANS,Ang Lee,crouching-tiger-hidden-dragon-2000
"SHE BROUGHT A SMALL TOWN TO ITS FEET AND A HUGE COMPANY TO ITS KNEES.
A twice-divorced mother of three who sees an injustice, takes on the bad guy and wins – with a little help from her push-up bra. Erin goes to work for an attorney and comes across medical records describing illnesses clustered in one nearby town. She starts investigating and soon exposes a monumental cover-up.",3.9,73K,515K,123K,2.5K FANS,Steven Soderbergh,erin-brockovich-2000
"NO ONE GETS AWAY CLEAN
An exploration of the United States of America’s war on drugs from multiple perspectives. For the new head of the Office of National Drug Control Policy, the war becomes personal when he discovers his well-educated daughter is abusing cocaine within their comfortable suburban home. In Mexico, a flawed, but noble policeman agrees to testify against a powerful general in league with a cartel, and in San Diego, a drug kingpin’s sheltered trophy wife …more",3.7,42K,154K,25K,128 FANS,Steven Soderbergh,traffic-2000
"HE SAW THE WORLD IN A WAY NO ONE COULD HAVE IMAGINED.
From the heights of notoriety to the depths of depravity, John Forbes Nash Jr. experiences it all. As a brilliant but socially awkward mathematician, he made a groundbreaking discovery early in his career and stands on the brink of international acclaim. But as the handsome and arrogant Nash accepts secret work in cryptography, he becomes entangled in a mysterious conspiracy. His life takes a nightmarish turn and he soon finds himself on a painful …more",3.9,109K,930K,192K,4.8K FANS,Ron Howard,a-beautiful-mind-2001
"TEA AT FOUR. DINNER AT EIGHT. MURDER AT MIDNIGHT.
In 1930s England, a group of pretentious rich and famous gather together for a weekend of relaxation at a hunting resort. But when a murder occurs, each one of these interesting characters becomes a suspect.",3.7,35K,129K,27K,439 FANS,Robert Altman,gosford-park-2001
"A YOUNG MAN. AN OLDER WOMAN. HER EX-HUSBAND. THINGS ARE ABOUT TO EXPLODE…
Summertime on the coast of Maine, “In the Bedroom” centers on the inner dynamics of a family in transition. Matt Fowler is a doctor practicing in his native Maine and is married to New York born Ruth Fowler, a music teacher. His son is involved in a love affair with a local single mother. As the beauty of Maine’s brief and fleeting summer comes to an end, these characters find themselves in the midst of unimaginable tragedy.",3.9,18K,39K,9.1K,120 FANS,Todd Field,in-the-bedroom-2001
"ONE RING TO RULE THEM ALL.
Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",4.4,415K,3.7M,1.3M,80K FANS,Peter Jackson,the-lord-of-the-rings-the-fellowship-of-the-ring-2001
"NO LAWS. NO LIMITS. ONE RULE. NEVER FALL IN LOVE.
A celebration of love and creative inspiration takes place in the infamous, gaudy and glamorous Parisian nightclub, at the cusp of the 20th century. A young poet, who is plunged into the heady world of Moulin Rouge, begins a passionate affair with the club’s most notorious and beautiful star.",3.8,154K,759K,219K,24K FANS,Baz Luhrmann,moulin-rouge-2001
